Continent,Geographic Area,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit of Measure
America,Caribbean,Height-for-age <-2 SD (stunting),Total,1985,24,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,1986,23,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,1987,23,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,1988,22,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,1989,21,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,1990,21,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,1991,20,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,1992,20,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,1993,19,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,1994,18,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,1995,18,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,1996,17,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,1997,17,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,1998,16,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,1999,16,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2000,15,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2001,15,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2002,14,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2003,14,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2004,13,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2005,13,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2006,13,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2007,12,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2008,12,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2009,11,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2010,11,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2011,11,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2012,10,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2013,10,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2014,10,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2015,9,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2016,9,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2017,9,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2018,8,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2019,8,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2020,8,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,1985,36,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,1986,35,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,1987,35,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,1988,34,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,1989,33,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,1990,32,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,1991,31,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,1992,30,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,1993,29,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,1994,28,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,1995,28,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,1996,27,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,1997,26,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,1998,25,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,1999,24,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2000,24,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2001,23,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2002,22,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2003,22,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2004,21,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2005,20,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2006,20,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2007,19,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2008,18,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2009,18,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2010,17,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2011,17,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2012,16,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2013,16,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2014,15,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2015,14,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2016,14,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2017,13,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2018,13,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2019,13,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2020,12,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1985,26,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1986,25,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1987,25,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1988,24,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1989,23,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1990,23,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1991,22,Percent
