Continent,Geographic Area,Indicator,Sex,TIME_PERIOD,CATEGORY,OBS_VALUE,Unit of Measure
America,Caribbean,Height-for-age <-2 SD (stunting),Total,1985,1,58,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,1986,1,59,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,1987,1,60,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,1988,1,61,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,1989,1,62,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,1990,1,63,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,1991,1,64,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,1992,1,65,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,1993,1,66,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,1994,1,58,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,1995,1,59,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,1996,1,60,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,1997,1,61,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,1998,1,62,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,1999,1,63,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2000,1,64,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2001,1,65,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2002,1,66,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2003,1,58,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2004,1,59,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2005,1,60,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2006,1,61,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2007,1,62,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2008,1,63,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2009,1,64,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2010,1,65,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2011,1,66,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2012,1,58,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2013,1,59,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2014,1,60,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2015,1,61,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2016,1,62,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2017,1,63,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2018,1,64,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2019,1,65,Percent
America,Caribbean,Height-for-age <-2 SD (stunting),Total,2020,1,66,Percent
